event,is_goal,period,time,distance,angle,is_rebound,is_pass_before,is_cross_line,is_one_touch,is_fast_attack
Shot Attempt - Wide left,FALSE,1,1071.6,17.4,44.49297094,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,519.2,12.9,46.69464707,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,2,742.9,20.6,59.28470583,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,210.1,16.6,5.419532499,FALSE,TRUE,FALSE,TRUE,FALSE
Shot Attempt - Deflected,FALSE,2,599.1,20.1,64.22156914,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,3,313.4,7.6,0.671568125,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Blocked,FALSE,1,473.4,23.7,54.61067967,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide right,FALSE,3,157,14.3,58.17255342,FALSE,TRUE,FALSE,TRUE,FALSE
Shot Attempt - Blocked,FALSE,1,69.7,20.7,63.69016219,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Lower right,TRUE,1,879.5,3.6,32.19573393,FALSE,FALSE,TRUE,FALSE,FALSE
Shot Attempt - Wide right,FALSE,2,736.6,9.6,65.91254769,FALSE,FALSE,TRUE,FALSE,FALSE
Shot Attempt - Deflected,FALSE,3,759.4,2.5,26.56505118,FALSE,FALSE,TRUE,FALSE,FALSE
Shot Attempt - Wide right,FALSE,2,258,20.7,62.02841542,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide left,FALSE,1,794,19.5,61.38954033,FALSE,FALSE,FALSE,FALSE,FALSE
Shot Attempt - Wide right,FALSE,2,196,3,46.46880071,TRUE,FALSE,FALSE,TRUE,FALSE
Shot Attempt - Bottom middle,FALSE,1,933.6,11.4,41.42366563,FALSE,FALSE,FALSE,FALSE,FALSE
